keys,ru,en,fr,it,de,es,pt_br,uk,ja,ko,zh_tw,ar,nl,id,hi,tr,zh_cn,th,vi,pl
Перевод текста поверх экрана,Перевод текста поверх экрана,On-screen translation,Traduire du texte sur l'écran,Traduzione del testo sullo schermo,Text über den Bildschirm übersetzen,Traducir texto a través de la pantalla.,Traduzindo texto na tela,Переклад тексту поверх екрану,画面上でテキストを翻訳する,화면에서 텍스트 번역,翻譯螢幕上的文字,ترجمة النص على الشاشة,Tekst over het scherm vertalen,Menerjemahkan teks melalui layar,स्क्रीन पर टेक्स्ट का अनुवाद करना,Ekrandaki metni çevirme,翻译屏幕上的文本,การแปลข้อความผ่านหน้าจอ,Dịch văn bản trên màn hình,Tłumaczenie tekstu na ekranie
Настройки и кэш переводов хранятся только на устройстве. API-ключи движков лежат в приватном хранилище приложения и передаются только соответствующему сервису перевода.,Настройки и кэш переводов хранятся только на устройстве. API-ключи движков лежат в приватном хранилище приложения и передаются только соответствующему сервису перевода.,Settings and the translation cache are stored on the device only. Engine API keys live in the app's private storage and are sent only to the corresponding translation service.,Les paramètres et le cache de traduction sont stockés uniquement sur l'appareil. Les clés API du moteur sont stockées dans le stockage privé de l’application et sont transférées uniquement au service de traduction correspondant.,Le impostazioni e la cache di traduzione vengono memorizzate solo sul dispositivo. Le chiavi API del motore vengono archiviate nell'archivio privato dell'applicazione e trasferite solo al servizio di traduzione corrispondente.,Einstellungen und Übersetzungscache werden nur auf dem Gerät gespeichert. Engine-API-Schlüssel werden im privaten Speicher der Anwendung gespeichert und nur an den entsprechenden Übersetzungsdienst übertragen.,La configuración y el caché de traducción se almacenan solo en el dispositivo. Las claves API del motor se almacenan en el almacenamiento privado de la aplicación y se transfieren únicamente al servicio de traducción correspondiente.,As configurações e o cache de tradução são armazenados apenas no dispositivo. As chaves da API do mecanismo são armazenadas no armazenamento privado do aplicativo e são transferidas apenas para o serviço de tradução correspondente.,Установки та кеш перекладів зберігаються лише на пристрої. API-ключі движків лежать у приватному сховищі програми та передаються лише відповідному сервісу перекладу.,設定と翻訳キャッシュはデバイスにのみ保存されます。エンジン API キーはアプリケーションのプライベート ストレージに保存され、対応する翻訳サービスにのみ転送されます。,설정 및 번역 캐시는 기기에만 저장됩니다. 엔진 API 키는 애플리케이션의 개인 저장소에 저장되며 해당 번역 서비스로만 전송됩니다.,設定和翻譯快取僅儲存在裝置上。引擎 API 金鑰儲存在應用程式的私人儲存中，並且僅傳輸到相應的翻譯服務。,يتم تخزين الإعدادات وذاكرة التخزين المؤقت للترجمة على الجهاز فقط. يتم تخزين مفاتيح Engine API في مساحة التخزين الخاصة بالتطبيق ويتم نقلها فقط إلى خدمة الترجمة المقابلة.,Instellingen en vertaalcache worden alleen op het apparaat opgeslagen. Engine API-sleutels worden opgeslagen in de privéopslag van de applicatie en worden alleen overgedragen aan de overeenkomstige vertaalservice.,Pengaturan dan cache terjemahan hanya disimpan di perangkat. Kunci API mesin disimpan di penyimpanan pribadi aplikasi dan hanya ditransfer ke layanan terjemahan yang sesuai.,सेटिंग्स और अनुवाद कैश केवल डिवाइस पर संग्रहीत होते हैं। इंजन एपीआई कुंजियाँ एप्लिकेशन के निजी भंडारण में संग्रहीत की जाती हैं और केवल संबंधित अनुवाद सेवा में स्थानांतरित की जाती हैं।,Ayarlar ve çeviri önbelleği yalnızca cihazda saklanır. Motor API anahtarları uygulamanın özel deposunda saklanır ve yalnızca ilgili çeviri hizmetine aktarılır.,设置和翻译缓存仅存储在设备上。引擎 API 密钥存储在应用程序的私有存储中，并且仅传输到相应的翻译服务。,การตั้งค่าและแคชการแปลจะถูกจัดเก็บไว้ในอุปกรณ์เท่านั้น คีย์ Engine API จะถูกจัดเก็บไว้ในที่เก็บข้อมูลส่วนตัวของแอปพลิเคชันและถ่ายโอนไปยังบริการแปลที่เกี่ยวข้องเท่านั้น,Cài đặt và bộ đệm dịch chỉ được lưu trữ trên thiết bị. Khóa API công cụ được lưu trữ trong bộ nhớ riêng của ứng dụng và chỉ được chuyển đến dịch vụ dịch thuật tương ứng.,Ustawienia i pamięć podręczna tłumaczeń są przechowywane tylko na urządzeniu. Klucze API silnika są przechowywane w prywatnej pamięci aplikacji i przekazywane wyłącznie do odpowiedniej usługi tłumaczeniowej.
Письменность оригинала,Письменность оригинала,Source script,Écriture originale,Scrittura originale,Originalschrift,Escritura original,Escrita original,Письмість оригіналу,原文,원본 글쓰기,原創寫作,الكتابة الأصلية,Origineel schrijven,Tulisan asli,मौलिक लेखन,Orijinal yazı,原创写作,การเขียนต้นฉบับ,Văn bản gốc,Oryginalne pismo
Латиница,Латиница,Latin,Latin,latino,Latein,latín,Latim,Латиниця,ラテン語,라틴어,拉丁文,اللاتينية,Latijn,Latin,लैटिन,Latince,拉丁语,ละติน,tiếng Latinh,łacina
"EN, DE, FR, ES, PT, IT, PL, TR…","EN, DE, FR, ES, PT, IT, PL, TR…","EN, DE, FR, ES, PT, IT, PL, TR…","EN, DE, FR, ES, PT, IT, PL, TR…","EN, DE, FR, ES, PT, IT, PL, TR…","EN, DE, FR, ES, PT, IT, PL, TR…","EN, DE, FR, ES, PT, IT, PL, TR…","EN, DE, FR, ES, PT, IT, PL, TR…","EN, DE, FR, ES, PT, IT, PL, TR...",英語、ドイツ、フランス、スペイン、PT、IT、PL、TR…,"EN, DE, FR, ES, PT, IT, PL, TR…",英語、德語、法語、西班牙語、葡萄牙語、義大利語、波蘭語、土耳其語…,الإنجليزية، الألمانية، الفرنسية، الإسبانية، البرتغالية، الإيطالية، البولندية، التركية...,"EN, DE, FR, ES, PT, IT, PL, TR…","EN, DE, FR, ES, PT, IT, PL, TR…","एन, डीई, एफआर, ईएस, पीटी, आईटी, पीएल, टीआर…","EN, DE, FR, ES, PT, IT, PL, TR…",英语、德语、法语、西班牙语、葡萄牙语、意大利语、波兰语、土耳其语……,"EN, DE, FR, ES, PT, IT, PL, TR...","EN, DE, FR, ES, PT, IT, PL, TR…","EN, DE, FR, ES, PT, IT, PL, TR…"
+ латиница,+ латиница,+ Latin,+ Latin,+ latino,+ Latein,+ latín,+ Latim,+ латиниця,+ ラテン語,+ 라틴어,+ 拉丁文,+ اللاتينية,+ Latijn,+ Latin,+ लैटिन,+ Latince,+ 拉丁语,+ ละติน,+ Tiếng Latinh,+ łacina
офлайн,офлайн,offline,hors ligne,non in linea,offline,fuera de línea,off-line,офлайн,オフライン,오프라인,離線,غير متصل,offline,luring,ऑफ़लाइन,çevrimdışı,离线,ออฟไลน์,ngoại tuyến,nieaktywny
бесплатно,бесплатно,free,gratuit,gratuito,kostenlos,gratis,grátis,безкоштовно,無料,무료,免費,مجانا,gratis,gratis,निःशुल्क,ücretsiz,免费,ฟรี,miễn phí,bezpłatny
ключ,ключ,key,clé,chiave,Schlüssel,clave,chave,ключ,キー,열쇠,鑰匙,مفتاح,sleutel,kunci,कुंजी,anahtar,钥匙,ที่สำคัญ,chìa khóa,klucz
Офлайн · бесплатно · быстро · модель пары языков ≈30 МБ,Офлайн · бесплатно · быстро · модель пары языков ≈30 МБ,Offline · free · fast · language-pair model ≈30 MB,Hors ligne · gratuit · rapide · modèle de paire de langues ≈30 Mo,Offline · gratuito · veloce · modello di combinazione linguistica ≈30 MB,Offline · kostenlos · schnell · Sprachpaarmodell ≈30 MB,Sin conexión · gratis · rápido · modelo de combinación de idiomas ≈30 MB,Off-line · gratuito · rápido · modelo de par de idiomas ≈30 MB,Офлайн · безкоштовно · швидко · модель пари мов ≈30 МБ,オフライン・無料・高速・言語ペアモデル ≈30 MB,오프라인 · 무료 · 빠른 · 언어 쌍 모델 ≒30MB,離線·免費·快速·語言對模型≈30 MB,غير متصل · مجاني · سريع · نموذج الزوج اللغوي ≈30 ميجابايت,Offline · gratis · snel · talenpaarmodel ≈30 MB,Offline · gratis · cepat · model pasangan bahasa ≈30 MB,ऑफ़लाइन · मुफ़्त · तेज़ · भाषा युग्म मॉडल ≈30 एमबी,Çevrimdışı · ücretsiz · hızlı · dil çifti modeli ≈30 MB,离线·免费·快速·语言对模型≈30 MB,ออฟไลน์ · ฟรี · รวดเร็ว · รุ่นคู่ภาษา µ30 MB,Ngoại tuyến · miễn phí · nhanh · mô hình cặp ngôn ngữ ≈30 MB,Offline · darmowy · szybki · model pary językowej ≈30 MB
Онлайн · бесплатно · без ключа · неофициальный API,Онлайн · бесплатно · без ключа · неофициальный API,Online · free · no key · unofficial API,En ligne · gratuit · sans clé · API non officielle,Online · gratuito · senza chiave · API non ufficiale,Online · kostenlos · kein Schlüssel · inoffizielle API,En línea · gratis · sin clave · API no oficial,Online · grátis · sem chave · API não oficial,Онлайн · безкоштовно · без ключа · неофіційний API,オンライン・無料・鍵なし・非公式API,온라인 · 무료 · 키 없음 · 비공식 API,線上·免費·無密鑰·非官方API,عبر الإنترنت · مجانًا · بدون مفتاح · واجهة برمجة تطبيقات غير رسمية,Online · gratis · geen sleutel · onofficiële API,Online · gratis · tanpa kunci · API tidak resmi,ऑनलाइन · मुफ़्त · कोई कुंजी नहीं · अनौपचारिक एपीआई,Çevrimiçi · ücretsiz · anahtarsız · resmi olmayan API,在线·免费·无密钥·非官方API,ออนไลน์ · ฟรี · ไม่มีคีย์ · API อย่างไม่เป็นทางการ,Trực tuyến · miễn phí · không cần chìa khóa · API không chính thức,Online · za darmo · bez klucza · nieoficjalne API
Онлайн · бесплатно · без ключа · до 5 000 символов в день,Онлайн · бесплатно · без ключа · до 5 000 символов в день,"Online · free · no key · up to 5,000 characters a day",En ligne · gratuit · sans clé · jusqu'à 5 000 caractères par jour,Online · gratuito · senza chiave · fino a 5.000 caratteri al giorno,Online · kostenlos · ohne Schlüssel · bis zu 5.000 Zeichen pro Tag,En línea · gratis · sin clave · hasta 5000 caracteres por día,Online · grátis · sem chave · até 5.000 caracteres por dia,Онлайн · безкоштовно · без ключа · до 5 000 символів на день,"オンライン・無料・鍵なし・1日5,000文字まで","온라인 · 무료 · 키 없음 · 하루 최대 5,000자","線上 · 免費 · 無密鑰 · 每天最多 5,000 個字符",عبر الإنترنت · مجانًا · بدون مفتاح · ما يصل إلى 5000 حرف يوميًا,Online · gratis · geen sleutel · maximaal 5.000 tekens per dag,Online · gratis · tanpa kunci · hingga 5.000 karakter per hari,"ऑनलाइन · मुफ़्त · कोई कुंजी नहीं · प्रति दिन 5,000 अक्षर तक",Çevrimiçi · ücretsiz · anahtarsız · günde 5.000 karaktere kadar,"在线 · 免费 · 无密钥 · 每天最多 5,000 个字符","ออนไลน์ · ฟรี · ไม่ต้องใช้คีย์ · มากถึง 5,000 ตัวอักษรต่อวัน",Trực tuyến · miễn phí · không cần chìa khóa · tối đa 5.000 ký tự mỗi ngày,Online · bezpłatnie · bez klucza · do 5000 znaków dziennie
Онлайн · контекстный перевод · есть бесплатный тариф,Онлайн · контекстный перевод · есть бесплатный тариф,Online · context-aware · free tier available,En ligne · traduction contextuelle · plan gratuit disponible,Online · traduzione contestuale · piano gratuito disponibile,Online · kontextbezogene Übersetzung · kostenloser Plan verfügbar,En línea · traducción contextual · plan gratuito disponible,Online · tradução contextual · plano gratuito disponível,Онлайн · контекстний переклад · є безкоштовний тариф,オンライン・文脈翻訳・無料プランあり,온라인 · 상황에 맞는 번역 · 무료 플랜 제공,線上·上下文翻譯·提供免費計劃,عبر الإنترنت · ترجمة سياقية · خطة مجانية متاحة,Online · contextuele vertaling · gratis abonnement beschikbaar,Online · terjemahan kontekstual · tersedia paket gratis,ऑनलाइन · प्रासंगिक अनुवाद · मुफ़्त योजना उपलब्ध है,Çevrimiçi · bağlamsal çeviri · ücretsiz plan mevcut,在线·上下文翻译·提供免费计划,ออนไลน์ · การแปลตามบริบท · มีแผนบริการฟรี,Trực tuyến · dịch theo ngữ cảnh · có sẵn gói miễn phí,Online · tłumaczenie kontekstowe · dostępny bezpłatny plan
Онлайн · контекстный перевод · очень быстро · есть бесплатный тариф,Онлайн · контекстный перевод · очень быстро · есть бесплатный тариф,Online · context-aware · very fast · free tier available,En ligne · traduction contextuelle · très rapide · plan gratuit disponible,Online · traduzione contestuale · molto veloce · piano gratuito disponibile,Online · kontextbezogene Übersetzung · sehr schnell · kostenloser Plan verfügbar,En línea · traducción contextual · muy rápido · plan gratuito disponible,Online · tradução contextual · muito rápido · plano gratuito disponível,Онлайн · контекстний переклад · дуже швидко · є безкоштовний тариф,オンライン · 状況に応じた翻訳 · 非常に高速 · 無料プランあり,온라인 · 상황에 맞는 번역 · 매우 빠름 · 무료 플랜 이용 가능,線上·上下文翻譯·非常快·提供免費計劃,عبر الإنترنت · ترجمة سياقية · سريعة جدًا · تتوفر خطة مجانية,Online · contextuele vertaling · zeer snel · gratis abonnement beschikbaar,Daring · terjemahan kontekstual · sangat cepat · paket gratis tersedia,ऑनलाइन · प्रासंगिक अनुवाद · बहुत तेज़ · मुफ़्त योजना उपलब्ध है,Çevrimiçi · bağlamsal çeviri · çok hızlı · ücretsiz plan mevcut,在线·上下文翻译·非常快·提供免费计划,ออนไลน์ · การแปลตามบริบท · รวดเร็วมาก · มีแผนบริการฟรี,Trực tuyến · dịch theo ngữ cảnh · rất nhanh · có sẵn gói miễn phí,Online · tłumaczenie kontekstowe · bardzo szybko · dostępny darmowy plan
Онлайн · высокое качество · 500 000 символов в месяц бесплатно,Онлайн · высокое качество · 500 000 символов в месяц бесплатно,"Online · high quality · 500,000 characters a month free",En ligne · haute qualité · 500 000 caractères par mois gratuits,Online · alta qualità · 500.000 caratteri al mese gratuiti,Online · hohe Qualität · 500.000 Zeichen pro Monat kostenlos,En línea · alta calidad · 500.000 caracteres al mes gratis,Online · alta qualidade · 500.000 caracteres por mês grátis,Онлайн · висока якість · 500 000 символів на місяць безкоштовно,オンライン・高品質・月間50万文字無料,"온라인 · 고품질 · 월 500,000자 무료",線上·高品質·每月50萬字符免費,عبر الإنترنت · جودة عالية · 500000 حرف شهريًا مجانًا,Online · hoge kwaliteit · 500.000 tekens per maand gratis,Online · kualitas tinggi · 500.000 karakter per bulan gratis,"ऑनलाइन · उच्च गुणवत्ता · 500,000 अक्षर प्रति माह निःशुल्क",Çevrimiçi · yüksek kalite · ayda 500.000 karakter ücretsiz,在线·高品质·每月50万字符免费,"ออนไลน์ · คุณภาพสูง · ฟรี 500,000 ตัวอักษรต่อเดือน",Trực tuyến · chất lượng cao · 500.000 ký tự mỗi tháng miễn phí,Online · wysoka jakość · 500 000 znaków miesięcznie za darmo
"Онлайн · сотни моделей, есть бесплатные · контекстный перевод","Онлайн · сотни моделей, есть бесплатные · контекстный перевод","Online · hundreds of models, some free · context-aware","En ligne · des centaines de modèles, certains gratuits · traduction contextuelle","Online · centinaia di modelli, alcuni gratuiti · traduzione contestuale","Online · Hunderte Modelle, einige davon kostenlos · kontextbezogene Übersetzung","En línea · cientos de modelos, algunos gratuitos · traducción contextual","On-line · centenas de modelos, alguns gratuitos · tradução contextual","Онлайн · сотні моделей, є безкоштовні · контекстний переклад",オンライン · 数百のモデル、一部の無料 · 状況に応じた翻訳,"온라인 · 수백 가지 모델, 일부는 무료 · 상황별 번역",線上 · 數百個模型，部分免費 · 上下文翻譯,عبر الإنترنت · مئات النماذج، بعضها مجاني · ترجمة سياقية,"Online · honderden modellen, sommige gratis · contextuele vertaling","Online · ratusan model, beberapa gratis · terjemahan kontekstual","ऑनलाइन · सैकड़ों मॉडल, कुछ मुफ़्त · प्रासंगिक अनुवाद","Çevrimiçi · yüzlerce model, bazıları ücretsiz · bağlamsal çeviri",在线 · 数百个模型，部分免费 · 上下文翻译,ออนไลน์ · โมเดลหลายร้อยแบบ และบางรุ่นฟรี · การแปลตามบริบท,"Trực tuyến · hàng trăm mô hình, một số miễn phí · dịch theo ngữ cảnh","Online · setki modeli, niektóre bezpłatne · tłumaczenie kontekstowe"
Онлайн · контекстный перевод · лучшее качество · платно,Онлайн · контекстный перевод · лучшее качество · платно,Online · context-aware · best quality · paid,En ligne · traduction contextuelle · meilleure qualité · payant,Online · traduzione contestuale · migliore qualità · a pagamento,Online · kontextbezogene Übersetzung · beste Qualität · kostenpflichtig,En línea · traducción contextual · mejor calidad · pagada,On-line · tradução contextual · melhor qualidade · pago,Онлайн · контекстний переклад · найкраща якість · платно,オンライン · 状況に応じた翻訳 · 最高品質 · 有料,온라인 · 문맥 번역 · 최고 품질 · 유료,線上 · 上下文翻譯 · 最好的品質 · 付費,عبر الإنترنت · ترجمة سياقية · أفضل جودة · مدفوعة الأجر,Online · contextuele vertaling · beste kwaliteit · betaald,Online · terjemahan kontekstual · kualitas terbaik · berbayar,ऑनलाइन · प्रासंगिक अनुवाद · सर्वोत्तम गुणवत्ता · भुगतान किया हुआ,Çevrimiçi · bağlamsal çeviri · en iyi kalite · ücretli,在线 · 上下文翻译 · 最好的质量 · 付费,ออนไลน์ · การแปลตามบริบท · คุณภาพดีที่สุด · ชำระเงิน,Trực tuyến · dịch theo ngữ cảnh · chất lượng tốt nhất · trả phí,Online · tłumaczenie kontekstowe · najwyższa jakość · płatne
Онлайн · контекстный перевод · платно,Онлайн · контекстный перевод · платно,Online · context-aware · paid,En ligne · traduction contextuelle · payant,Online · traduzione contestuale · a pagamento,Online · kontextbezogene Übersetzung · kostenpflichtig,En línea · traducción contextual · pagada,On-line · tradução contextual · paga,Онлайн · контекстний переклад · платно,オンライン · 状況に応じた翻訳 · 有料,온라인 · 문맥 번역 · 유료,在線·上下文翻譯·付費,عبر الإنترنت · ترجمة سياقية · مدفوعة الأجر,Online · contextuele vertaling · betaald,Online · terjemahan kontekstual · berbayar,ऑनलाइन · प्रासंगिक अनुवाद · भुगतान किया गया,Çevrimiçi · bağlamsal çeviri · ücretli,在线·上下文翻译·付费,ออนไลน์ · แปลตามบริบท · ชำระเงิน,Trực tuyến · dịch theo ngữ cảnh · trả phí,Online · tłumaczenie kontekstowe · płatne
Онлайн · контекстный перевод · дёшево,Онлайн · контекстный перевод · дёшево,Online · context-aware · cheap,En ligne · traduction contextuelle · pas cher,Online · traduzione contestuale · economico,Online · kontextbezogene Übersetzung · günstig,En línea · traducción contextual · barata,On-line · tradução contextual · barato,Онлайн · контекстний переклад · дешево,オンライン · 状況に応じた翻訳 · 安価,온라인 · 상황에 맞는 번역 · 저렴한,線上·上下文翻譯·便宜,على الإنترنت · ترجمة سياقية · رخيصة,Online · contextuele vertaling · goedkoop,Online · terjemahan kontekstual · murah,ऑनलाइन · प्रासंगिक अनुवाद · सस्ता,Çevrimiçi · bağlamsal çeviri · ucuz,在线·上下文翻译·便宜,ออนไลน์ · การแปลตามบริบท · ราคาถูก,Trực tuyến · dịch theo ngữ cảnh · giá rẻ,Online · tłumaczenie kontekstowe · tanio
Онлайн · официальный API · 500 000 символов в месяц бесплатно,Онлайн · официальный API · 500 000 символов в месяц бесплатно,"Online · official API · 500,000 characters a month free",En ligne · API officielle · 500 000 caractères par mois gratuits,Online · API ufficiale · 500.000 caratteri al mese gratuiti,Online · offizielle API · 500.000 Zeichen pro Monat kostenlos,En línea · API oficial · 500.000 caracteres al mes gratis,Online · API oficial · 500.000 caracteres por mês grátis,Онлайн · офіційний API · 500 000 символів на місяць безкоштовно,オンライン・公式API・月間50万文字無料,"온라인 · 공식 API · 월 500,000자 무료",線上·官方API·每月50萬字符免費,عبر الإنترنت · واجهة برمجة التطبيقات الرسمية · 500000 حرف شهريًا مجانًا,Online · officiële API · 500.000 tekens per maand gratis,Online · API resmi · 500.000 karakter per bulan gratis,"ऑनलाइन · आधिकारिक एपीआई · प्रति माह 500,000 अक्षर निःशुल्क",Çevrimiçi · resmi API · ayda 500.000 karakter ücretsiz,在线·官方API·每月50万字符免费,"ออนไลน์ · API อย่างเป็นทางการ · ฟรี 500,000 ตัวอักษรต่อเดือน",Trực tuyến · API chính thức · 500.000 ký tự mỗi tháng miễn phí,Online · oficjalne API · 500 000 znaków miesięcznie za darmo
Онлайн · официальный API · нужен API-ключ Yandex Cloud,Онлайн · официальный API · нужен API-ключ Yandex Cloud,Online · official API · needs a Yandex Cloud API key,En ligne · API officielle · Clé API Yandex Cloud requise,Online · API ufficiale · Chiave API Yandex Cloud richiesta,Online · offizielle API · Yandex Cloud API-Schlüssel erforderlich,En línea · API oficial · Se requiere clave API de Yandex Cloud,Online · API oficial · Chave Yandex Cloud API necessária,Онлайн · офіційний API · потрібен API-ключ Yandex Cloud,オンライン · 公式 API · Yandex Cloud API キーが必要,온라인 · 공식 API · Yandex Cloud API 키 필요,線上 · 官方 API · 需要 Yandex Cloud API 金鑰,عبر الإنترنت · واجهة برمجة التطبيقات الرسمية · مطلوب مفتاح Yandex Cloud API,Online · officiële API · Yandex Cloud API-sleutel vereist,Online · API resmi · Kunci API Yandex Cloud diperlukan,ऑनलाइन · आधिकारिक एपीआई · यांडेक्स क्लाउड एपीआई कुंजी आवश्यक है,Çevrimiçi · resmi API · Yandex Cloud API anahtarı gerekli,在线 · 官方 API · 需要 Yandex Cloud API 密钥,ออนไลน์ · API อย่างเป็นทางการ · ต้องใช้คีย์ Yandex Cloud API,Trực tuyến · API chính thức · Yêu cầu khóa API đám mây Yandex,Online · oficjalne API · Wymagany klucz Yandex Cloud API
API-ключ %s,API-ключ %s,%s API key,Clé API %s,Chiave API %s,API-Schlüssel %s,Clave API %s,Chave de API %s,API-ключ %s,API キー %s,API 키 %s,API 金鑰 %s,مفتاح واجهة برمجة التطبيقات %s,API-sleutel %s,Kunci API %s,एपीआई कुंजी %s,API anahtarı %s,API 密钥 %s,คีย์ API %s,Khóa API %s,Klucz API %s
Где взять ключ,Где взять ключ,Where to get a key,Où obtenir la clé,Dove prendere la chiave,Wo bekomme ich den Schlüssel?,Donde conseguir la llave,Onde conseguir a chave,Де взяти ключ,鍵を入手する場所,열쇠를 어디서 구할 수 있나요?,哪裡可以拿到鑰匙,أين يمكن الحصول على المفتاح,Waar de sleutel te verkrijgen is,Di mana mendapatkan kuncinya,चाबी कहां से मिलेगी,Anahtar nereden alınır,哪里可以拿到钥匙,จะรับกุญแจได้ที่ไหน,Lấy chìa khóa ở đâu,Gdzie zdobyć klucz
Модель (пусто — по умолчанию),Модель (пусто — по умолчанию),Model (empty — default),Modèle (vide - par défaut),Modello (vuoto - predefinito),Modell (leer – Standard),Modelo (vacío - predeterminado),Modelo (vazio - padrão),Модель (порожньо - за замовчуванням),モデル (空 - デフォルト),모델(비어 있음 - 기본값),型號（空-預設）,النموذج (فارغ - افتراضي),Model (leeg - standaard),Model (kosong - default),मॉडल (खाली - डिफ़ॉल्ट),Model (boş - varsayılan),型号（空-默认）,รุ่น (ว่าง - ค่าเริ่มต้น),Model (trống - mặc định),Model (pusty - domyślny)
Сейчас: %s,Сейчас: %s,Current: %s,Maintenant : %s,Adesso: %s,Jetzt: %s,Ahora: %s,Agora: %s,Зараз: %s,現在: %s,지금: %s,現在：%s,الآن: %s,Nu: %s,Sekarang: %s,अब: %s,Şimdi: %s,现在：%s,ขณะนี้: %s,Bây giờ: %s,Teraz: %s
Модель сохранена.,Модель сохранена.,Model saved.,Le modèle est enregistré.,Il modello viene salvato.,Das Modell wird gespeichert.,El modelo se guarda.,O modelo é salvo.,Модель збережено.,モデルが保存されます。,모델이 저장됩니다.,模型已儲存。,تم حفظ النموذج.,Het model wordt opgeslagen.,Modelnya disimpan.,मॉडल सहेजा गया है.,Model kaydedildi.,模型已保存。,บันทึกโมเดลแล้ว,Mô hình đã được lưu.,Model został zapisany.
Модель по умолчанию.,Модель по умолчанию.,Default model.,Modèle par défaut.,Modello predefinito.,Standardmodell.,Modelo predeterminado.,Modelo padrão.,За замовчуванням модель.,デフォルトのモデル。,기본 모델.,預設型號。,النموذج الافتراضي.,Standaardmodel.,Model bawaan.,डिफ़ॉल्ट मॉडल.,Varsayılan model.,默认型号。,โมเดลเริ่มต้น,Mô hình mặc định.,Domyślny model.
Выбор,Выбор,Choose,Choix,Scelta,Wahl,Elección,Escolha,Вибір,選択,선택,選擇,الاختيار,Keuze,Pilihan,विकल्प,Seçim,选择,ทางเลือก,Lựa chọn,Wybór
▶  Смотреть видео-инструкцию (скоро на YouTube),▶  Смотреть видео-инструкцию (скоро на YouTube),▶ Watch the video guide (coming soon on YouTube),,,,,,▶  Дивитися відеоінструкцію (незабаром на YouTube),,,,,,,,,,,,
Перед первым переводом,Перед первым переводом,Before your first translation,,,,,,Перед першим перекладом,,,,,,,,,,,,
Полезные советы,Полезные советы,Helpful tips,,,,,,Корисні поради,,,,,,,,,,,,
